Lần cuối,Mở,Cao,Thấp,% Thay đổi,Ngày
11020.0,11020.0,11020.0,11020.0,0.05,1994-11-15
11020.0,11020.0,11020.0,11020.0,0.0,1994-11-16
11024.0,11024.0,11024.0,11024.0,0.04,1994-11-17
11024.0,11024.0,11024.0,11024.0,0.0,1994-11-18
11024.0,11024.0,11024.0,11024.0,0.0,1994-11-19
11024.0,11024.0,11024.0,11024.0,0.0,1994-11-20
11024.0,11024.0,11024.0,11024.0,0.0,1994-11-21
11027.0,11027.0,11027.0,11027.0,0.03,1994-11-22
11027.0,11027.0,11027.0,11027.0,0.0,1994-11-23
11030.0,11030.0,11030.0,11030.0,0.03,1994-11-24
11032.0,11032.0,11032.0,11032.0,0.02,1994-11-25
11032.0,11032.0,11032.0,11032.0,0.0,1994-11-26
11032.0,11032.0,11032.0,11032.0,0.0,1994-11-27
11032.0,11032.0,11032.0,11032.0,0.0,1994-11-28
11032.0,11032.0,11032.0,11032.0,0.0,1994-11-29
11032.0,11032.0,11032.0,11032.0,0.0,1994-11-30
11035.0,11035.0,11035.0,11035.0,0.03,1994-12-01
11035.0,11035.0,11035.0,11035.0,0.0,1994-12-02
11035.0,11035.0,11035.0,11035.0,0.0,1994-12-03
11035.0,11035.0,11035.0,11035.0,0.0,1994-12-04
11035.0,11035.0,11035.0,11035.0,0.0,1994-12-05
11035.0,11035.0,11035.0,11035.0,0.0,1994-12-06
11035.0,11035.0,11035.0,11035.0,0.0,1994-12-07
11038.0,11038.0,11038.0,11038.0,0.03,1994-12-08
11038.0,11038.0,11038.0,11038.0,0.0,1994-12-09
11038.0,11038.0,11038.0,11038.0,0.0,1994-12-10
11038.0,11038.0,11038.0,11038.0,0.0,1994-12-11
11037.0,11037.0,11037.0,11037.0,-0.01,1994-12-12
11037.0,11037.0,11037.0,11037.0,0.0,1994-12-13
11037.0,11037.0,11037.0,11037.0,0.0,1994-12-14
11042.0,11042.0,11042.0,11042.0,0.05,1994-12-15
11042.0,11042.0,11042.0,11042.0,0.0,1994-12-16
11042.0,11042.0,11042.0,11042.0,0.0,1994-12-17
11042.0,11042.0,11042.0,11042.0,0.0,1994-12-18
11042.0,11042.0,11042.0,11042.0,0.0,1994-12-19
11042.0,11042.0,11042.0,11042.0,0.0,1994-12-20
11042.0,11042.0,11042.0,11042.0,0.0,1994-12-21
11042.0,11042.0,11042.0,11042.0,0.0,1994-12-22
11043.0,11043.0,11043.0,11043.0,0.01,1994-12-23
11043.0,11043.0,11043.0,11043.0,0.0,1994-12-24
11043.0,11043.0,11043.0,11043.0,0.0,1994-12-25
11043.0,11043.0,11043.0,11043.0,0.0,1994-12-26
11043.0,11043.0,11043.0,11043.0,0.0,1994-12-27
11043.0,11043.0,11043.0,11043.0,0.0,1994-12-28
11045.0,11045.0,11045.0,11045.0,0.02,1994-12-29
11042.0,11042.0,11042.0,11042.0,-0.03,1994-12-30
11042.0,11042.0,11042.0,11042.0,0.0,1994-12-31
11042.0,11042.0,11042.0,11042.0,0.0,1995-01-01
11042.0,11042.0,11042.0,11042.0,0.0,1995-01-02
11042.0,11042.0,11042.0,11042.0,0.0,1995-01-03
11040.0,11040.0,11040.0,11040.0,-0.02,1995-01-04
11040.0,11040.0,11040.0,11040.0,0.0,1995-01-05
11035.0,11035.0,11035.0,11035.0,-0.05,1995-01-06
11035.0,11035.0,11035.0,11035.0,0.0,1995-01-07
11035.0,11035.0,11035.0,11035.0,0.0,1995-01-08
11035.0,11035.0,11035.0,11035.0,0.0,1995-01-09
11040.0,11040.0,11040.0,11040.0,0.05,1995-01-10
11045.0,11045.0,11045.0,11045.0,0.05,1995-01-11
11048.0,11048.0,11048.0,11048.0,0.03,1995-01-12
11046.0,11046.0,11046.0,11046.0,-0.02,1995-01-13
11046.0,11046.0,11046.0,11046.0,0.0,1995-01-14
11046.0,11046.0,11046.0,11046.0,0.0,1995-01-15
11046.0,11046.0,11046.0,11046.0,0.0,1995-01-16
11046.0,11046.0,11046.0,11046.0,0.0,1995-01-17
11046.0,11046.0,11046.0,11046.0,0.0,1995-01-18
11044.0,11044.0,11044.0,11044.0,-0.02,1995-01-19
11043.0,11043.0,11043.0,11043.0,-0.01,1995-01-20
11043.0,11043.0,11043.0,11043.0,0.0,1995-01-21
11043.0,11043.0,11043.0,11043.0,0.0,1995-01-22
11040.0,11040.0,11040.0,11040.0,-0.03,1995-01-23
11040.0,11040.0,11040.0,11040.0,0.0,1995-01-24
11040.0,11040.0,11040.0,11040.0,0.0,1995-01-25
11042.0,11042.0,11042.0,11042.0,0.02,1995-01-26
11039.0,11039.0,11039.0,11039.0,-0.03,1995-01-27
11039.0,11039.0,11039.0,11039.0,0.0,1995-01-28
11039.0,11039.0,11039.0,11039.0,0.0,1995-01-29
11039.0,11039.0,11039.0,11039.0,0.0,1995-01-30
11039.0,11039.0,11039.0,11039.0,0.0,1995-01-31
11039.0,11039.0,11039.0,11039.0,0.0,1995-02-01
11039.0,11039.0,11039.0,11039.0,0.0,1995-02-02
11044.0,11044.0,11044.0,11044.0,0.05,1995-02-03
11044.0,11044.0,11044.0,11044.0,0.0,1995-02-04
11044.0,11044.0,11044.0,11044.0,0.0,1995-02-05
11041.0,11041.0,11041.0,11041.0,-0.03,1995-02-06
11041.0,11041.0,11041.0,11041.0,0.0,1995-02-07
11041.0,11041.0,11041.0,11041.0,0.0,1995-02-08
11041.0,11041.0,11041.0,11041.0,0.0,1995-02-09
11041.0,11041.0,11041.0,11041.0,0.0,1995-02-10
11041.0,11041.0,11041.0,11041.0,0.0,1995-02-11
11041.0,11041.0,11041.0,11041.0,0.0,1995-02-12
11047.0,11047.0,11047.0,11047.0,0.05,1995-02-13
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-14
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-15
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-16
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-17
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-18
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-19
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-20
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-21
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-22
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-23
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-24
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-25
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-26
11047.0,11047.0,11047.0,11047.0,0.0,1995-02-27
11050.0,11050.0,11050.0,11050.0,0.03,1995-02-28
11050.0,11050.0,11050.0,11050.0,0.0,1995-03-01
11050.0,11050.0,11050.0,11050.0,0.0,1995-03-02
11050.0,11050.0,11050.0,11050.0,0.0,1995-03-03
11050.0,11050.0,11050.0,11050.0,0.0,1995-03-04
11050.0,11050.0,11050.0,11050.0,0.0,1995-03-05
11055.0,11055.0,11055.0,11055.0,0.05,1995-03-06
11055.0,11055.0,11055.0,11055.0,0.0,1995-03-07
11055.0,11055.0,11055.0,11055.0,0.0,1995-03-08
11052.0,11052.0,11052.0,11052.0,-0.03,1995-03-09
11048.0,11048.0,11048.0,11048.0,-0.04,1995-03-10
11048.0,11048.0,11048.0,11048.0,0.0,1995-03-11
11048.0,11048.0,11048.0,11048.0,0.0,1995-03-12
11048.0,11048.0,11048.0,11048.0,0.0,1995-03-13
11048.0,11048.0,11048.0,11048.0,0.0,1995-03-14
11049.0,11049.0,11049.0,11049.0,0.01,1995-03-15
11049.0,11049.0,11049.0,11049.0,0.0,1995-03-16
11046.0,11046.0,11046.0,11046.0,-0.03,1995-03-17
11046.0,11046.0,11046.0,11046.0,0.0,1995-03-18
11046.0,11046.0,11046.0,11046.0,0.0,1995-03-19
11045.0,11045.0,11045.0,11045.0,-0.01,1995-03-20
11044.0,11044.0,11044.0,11044.0,-0.01,1995-03-21
11044.0,11044.0,11044.0,11044.0,0.0,1995-03-22
11044.0,11044.0,11044.0,11044.0,0.0,1995-03-23
11044.0,11044.0,11044.0,11044.0,0.0,1995-03-24
11044.0,11044.0,11044.0,11044.0,0.0,1995-03-25
11044.0,11044.0,11044.0,11044.0,0.0,1995-03-26
11044.0,11044.0,11044.0,11044.0,0.0,1995-03-27
11045.0,11045.0,11045.0,11045.0,0.01,1995-03-28
11045.0,11045.0,11045.0,11045.0,0.0,1995-03-29
11045.0,11045.0,11045.0,11045.0,0.0,1995-03-30
11045.0,11045.0,11045.0,11045.0,0.0,1995-03-31
11045.0,11045.0,11045.0,11045.0,0.0,1995-04-01
11045.0,11045.0,11045.0,11045.0,0.0,1995-04-02
11044.0,11044.0,11044.0,11044.0,-0.01,1995-04-03
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-04
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-05
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-06
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-07
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-08
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-09
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-10
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-11
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-12
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-13
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-14
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-15
11044.0,11044.0,11044.0,11044.0,0.0,1995-04-16
11042.0,11042.0,11042.0,11042.0,-0.02,1995-04-17
11042.0,11042.0,11042.0,11042.0,0.0,1995-04-18
11042.0,11042.0,11042.0,11042.0,0.0,1995-04-19
11041.0,11041.0,11041.0,11041.0,-0.01,1995-04-20
11041.0,11041.0,11041.0,11041.0,0.0,1995-04-21
11041.0,11041.0,11041.0,11041.0,0.0,1995-04-22
11041.0,11041.0,11041.0,11041.0,0.0,1995-04-23
11041.0,11041.0,11041.0,11041.0,0.0,1995-04-24
11041.0,11041.0,11041.0,11041.0,0.0,1995-04-25
11041.0,11041.0,11041.0,11041.0,0.0,1995-04-26
11041.0,11041.0,11041.0,11041.0,0.0,1995-04-27
11041.0,11041.0,11041.0,11041.0,0.0,1995-04-28
11041.0,11041.0,11041.0,11041.0,0.0,1995-04-29
11041.0,11041.0,11041.0,11041.0,0.0,1995-04-30
11041.0,11041.0,11041.0,11041.0,0.0,1995-05-01
11041.0,11041.0,11041.0,11041.0,0.0,1995-05-02
11041.0,11041.0,11041.0,11041.0,0.0,1995-05-03
11041.0,11041.0,11041.0,11041.0,0.0,1995-05-04
11041.0,11041.0,11041.0,11041.0,0.0,1995-05-05
11041.0,11041.0,11041.0,11041.0,0.0,1995-05-06
11041.0,11041.0,11041.0,11041.0,0.0,1995-05-07
11041.0,11041.0,11041.0,11041.0,0.0,1995-05-08
11040.0,11040.0,11040.0,11040.0,-0.01,1995-05-09
11040.0,11040.0,11040.0,11040.0,0.0,1995-05-10
11040.0,11040.0,11040.0,11040.0,0.0,1995-05-11
11045.0,11045.0,11045.0,11045.0,0.05,1995-05-12
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-13
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-14
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-15
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-16
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-17
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-18
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-19
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-20
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-21
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-22
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-23
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-24
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-25
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-26
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-27
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-28
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-29
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-30
11045.0,11045.0,11045.0,11045.0,0.0,1995-05-31
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-01
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-02
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-03
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-04
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-05
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-06
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-07
