"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2021","22,825.0","22,760.0","22,857.5","22,747.5","0.03K","0.26%"
"30/12/2021","22,765.0","22,822.5","22,840.0","22,770.0","0.02K","-0.24%"
"29/12/2021","22,820.0","22,840.0","22,842.5","22,820.0","0.02K","-0.07%"
"28/12/2021","22,835.0","22,820.0","22,890.0","22,802.5","0.03K","0.11%"
"27/12/2021","22,810.0","22,835.0","22,838.5","22,790.0","0.03K","-0.13%"
"24/12/2021","22,840.0","22,940.0","22,955.0","22,850.0","0.03K","-0.48%"
"23/12/2021","22,950.0","22,970.0","22,980.0","22,920.0","0.03K","-0.02%"
"22/12/2021","22,955.0","22,980.0","22,982.5","22,917.5","0.04K","0.10%"
"21/12/2021","22,933.0","22,935.0","22,936.5","22,885.0","0.03K","0.02%"
"20/12/2021","22,928.0","22,930.0","22,985.0","22,915.0","0.02K","-0.23%"
"17/12/2021","22,980.0","23,035.0","23,035.0","22,910.0","0.04K","-0.04%"
"16/12/2021","22,990.0","23,030.0","23,060.0","22,987.5","0.03K","-0.17%"
"15/12/2021","23,030.0","23,020.0","23,075.0","23,010.0","0.04K","0.13%"
"14/12/2021","23,000.0","22,977.5","23,025.0","22,960.0","0.03K","0.11%"
"13/12/2021","22,975.0","23,051.5","23,051.5","22,960.0","0.02K","-0.22%"
"10/12/2021","23,025.0","23,010.0","23,075.0","22,967.5","0.04K","0.20%"
"09/12/2021","22,980.0","22,937.5","22,997.5","22,910.0","0.03K","0.26%"
"08/12/2021","22,920.0","23,065.0","23,080.0","22,920.0","0.06K","-0.65%"
"07/12/2021","23,070.0","23,075.0","23,120.0","23,015.0","0.04K","0.22%"
"06/12/2021","23,020.0","22,855.0","23,125.0","22,825.0","0.03K","0.83%"
"03/12/2021","22,830.0","22,693.5","22,857.5","22,693.5","0.04K","0.44%"
"02/12/2021","22,730.0","22,715.0","22,735.0","22,696.0","0.02K","0.09%"
"01/12/2021","22,710.0","22,690.0","22,715.0","22,690.0","0.02K","0.10%"
"30/11/2021","22,688.0","22,693.0","22,726.0","22,675.0","0.03K","-0.01%"
"29/11/2021","22,690.0","22,675.0","22,695.0","22,670.0","0.02K","0.05%"
"26/11/2021","22,678.0","22,675.0","22,685.0","22,667.0","0.02K","0.04%"
"25/11/2021","22,670.0","22,685.0","22,690.0","22,669.5","0.03K","-0.04%"
"24/11/2021","22,680.0","22,685.0","22,695.0","22,670.0","0.02K","0.02%"
"23/11/2021","22,675.0","22,670.0","22,680.0","22,665.5","0.02K","0.02%"
"22/11/2021","22,670.0","22,667.5","22,675.0","22,643.5","0.02K","0.06%"
"19/11/2021","22,657.0","22,654.0","22,665.0","22,651.5","0.02K","0.03%"
"18/11/2021","22,650.0","22,665.0","22,665.0","22,647.5","0.02K","0.01%"
"17/11/2021","22,648.0","22,649.5","22,655.5","22,645.0","0.02K","-0.01%"
"16/11/2021","22,650.0","22,650.0","22,655.0","22,645.0","0.02K","0.02%"
"15/11/2021","22,645.0","22,650.0","22,662.0","22,644.5","0.02K","0.02%"
"12/11/2021","22,640.0","22,646.0","22,662.0","22,637.0","0.02K","-0.02%"
"11/11/2021","22,645.0","22,647.5","22,659.0","22,644.0","0.01K","-0.07%"
"10/11/2021","22,660.0","22,661.5","22,667.5","22,657.5","0.01K","-0.01%"
"09/11/2021","22,662.0","22,663.5","22,669.5","22,658.5","0.02K","0.01%"
"08/11/2021","22,660.0","22,672.5","22,685.0","22,657.0","0.03K","-0.09%"
"05/11/2021","22,680.0","22,681.0","22,690.0","22,676.0","0.01K","0.00%"
"04/11/2021","22,680.0","22,680.0","22,723.5","22,680.0","0.01K","-0.29%"
"03/11/2021","22,747.0","22,748.0","22,754.0","22,744.0","0.02K","0.00%"
"02/11/2021","22,748.0","22,749.5","22,758.5","22,742.5","0.02K","-0.01%"
"01/11/2021","22,750.0","22,753.0","22,757.5","22,745.5","0.01K","0.00%"
"29/10/2021","22,750.0","22,753.0","22,756.0","22,745.5","0.01K","0.00%"
"28/10/2021","22,750.0","22,755.0","22,762.5","22,753.0","0.01K","-0.02%"
"27/10/2021","22,755.0","22,755.0","22,764.5","22,752.5","0.01K","-0.01%"
"26/10/2021","22,757.0","22,758.5","22,761.5","22,752.0","0.01K","0.05%"
"25/10/2021","22,745.0","22,755.0","22,759.5","22,750.0","0.02K","-0.04%"
"22/10/2021","22,754.0","22,755.0","22,762.0","22,748.5","0.02K","0.02%"
"21/10/2021","22,750.0","22,754.5","22,762.5","22,751.0","0.01K","-0.02%"
"20/10/2021","22,755.0","22,756.5","22,763.0","22,753.0","","0.00%"
"19/10/2021","22,755.0","22,757.0","22,764.0","22,753.5","0.01K","-0.01%"
"18/10/2021","22,758.0","22,792.5","22,794.0","22,757.0","0.01K","0.00%"
"15/10/2021","22,758.0","22,759.0","22,762.5","22,757.5","0.01K","0.00%"
"14/10/2021","22,757.0","22,760.0","22,765.5","22,752.0","0.02K","0.00%"
"13/10/2021","22,757.0","22,755.0","22,763.5","22,752.0","0.01K","0.00%"
"12/10/2021","22,757.0","22,754.5","22,763.5","22,750.0","0.02K","0.03%"
"11/10/2021","22,750.0","22,759.5","22,764.0","22,752.5","0.02K","-0.03%"
"08/10/2021","22,757.0","22,758.0","22,765.0","22,753.5","0.02K","0.03%"
"07/10/2021","22,750.0","22,760.5","22,766.0","22,753.0","0.02K","0.00%"
"06/10/2021","22,750.0","22,762.0","22,805.0","22,755.5","0.02K","-0.02%"
"05/10/2021","22,754.0","22,758.5","22,764.0","22,753.0","0.02K","-0.01%"
"04/10/2021","22,757.0","22,758.0","22,764.5","22,754.0","0.01K","0.00%"
"01/10/2021","22,757.0","22,760.5","22,765.0","22,754.0","0.02K","0.03%"
"30/09/2021","22,750.0","22,755.5","22,768.5","22,753.0","0.03K","-0.01%"
"29/09/2021","22,753.0","22,768.0","22,768.5","22,755.5","0.03K","-0.04%"
"28/09/2021","22,761.0","22,769.0","22,785.0","22,756.0","0.06K","-0.02%"
"27/09/2021","22,766.0","22,763.0","22,773.5","22,757.0","0.01K","0.03%"
"24/09/2021","22,760.0","22,770.0","22,774.5","22,764.5","0.01K","-0.01%"
"23/09/2021","22,762.0","22,765.0","22,772.5","22,756.0","0.01K","0.01%"
"22/09/2021","22,760.0","22,760.5","22,780.0","22,755.5","0.02K","0.02%"
"21/09/2021","22,755.0","22,764.5","22,781.0","22,760.0","0.01K","-0.06%"
"20/09/2021","22,769.0","22,775.0","22,782.0","22,771.0","0.02K","0.00%"
"17/09/2021","22,770.0","22,756.0","22,772.5","22,754.0","0.01K","0.07%"
