"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/12/2017","22,700.0","22,708.5","22,714.5","22,701.5","","-0.04%"
"28/12/2017","22,710.0","22,709.3","22,712.5","22,708.0","","0.00%"
"27/12/2017","22,710.0","22,710.5","22,712.5","22,709.0","","0.09%"
"26/12/2017","22,690.0","22,712.5","22,713.5","22,700.0","","-0.09%"
"25/12/2017","22,710.5","22,710.5","22,713.0","22,710.0","","0.04%"
"22/12/2017","22,701.0","22,712.0","22,719.0","22,706.5","","-0.02%"
"21/12/2017","22,705.0","22,712.5","22,719.5","22,706.0","","0.02%"
"20/12/2017","22,700.0","22,715.0","22,719.8","22,707.0","","0.00%"
"19/12/2017","22,701.0","22,712.5","22,721.0","22,707.0","","-0.06%"
"18/12/2017","22,714.0","22,717.5","22,717.8","22,711.0","","0.06%"
"15/12/2017","22,700.0","22,717.0","22,721.5","22,708.0","","-0.02%"
"14/12/2017","22,705.0","22,711.5","22,720.0","22,708.5","","0.02%"
"13/12/2017","22,701.0","22,712.5","22,719.0","22,706.0","","0.00%"
"12/12/2017","22,701.0","22,714.0","22,729.0","22,706.0","","0.00%"
"11/12/2017","22,700.0","22,711.5","22,717.0","22,705.5","","-0.04%"
"08/12/2017","22,710.0","22,711.0","22,717.5","22,710.0","","0.04%"
"07/12/2017","22,701.0","22,713.0","22,720.5","22,707.0","","-0.02%"
"06/12/2017","22,705.0","22,715.5","22,720.0","22,710.0","","0.00%"
"05/12/2017","22,705.0","22,713.5","22,722.0","22,708.0","","0.01%"
"04/12/2017","22,702.0","22,715.5","22,727.5","22,708.5","","0.01%"
"01/12/2017","22,700.0","22,717.5","22,727.5","22,707.5","","-0.02%"
"30/11/2017","22,705.0","22,717.5","22,727.5","22,711.5","","-0.04%"
"29/11/2017","22,715.0","22,712.5","22,725.0","22,708.0","","0.04%"
"28/11/2017","22,705.0","22,716.0","22,726.5","22,710.0","","-0.04%"
"27/11/2017","22,715.0","22,725.5","22,729.0","22,717.5","","0.00%"
"24/11/2017","22,715.0","22,729.0","22,731.5","22,719.0","","-0.05%"
"23/11/2017","22,727.0","22,720.0","22,731.0","22,716.5","","0.05%"
"22/11/2017","22,715.0","22,723.0","22,729.0","22,714.5","","0.07%"
"21/11/2017","22,700.0","22,715.0","22,718.0","22,706.5","","0.00%"
"20/11/2017","22,700.0","22,729.0","22,729.0","22,705.0","","-0.05%"
"17/11/2017","22,712.0","22,711.5","22,714.0","22,709.5","","0.05%"
"16/11/2017","22,701.0","22,711.5","22,716.0","22,705.0","","0.00%"
"15/11/2017","22,701.0","22,711.5","22,717.0","22,706.0","","-0.04%"
"14/11/2017","22,710.0","22,711.5","22,716.5","22,710.0","","0.07%"
"13/11/2017","22,695.0","22,713.5","22,716.5","22,698.0","","-0.03%"
"10/11/2017","22,701.0","22,712.5","22,720.0","22,707.5","","0.00%"
"09/11/2017","22,700.0","22,707.5","22,719.5","22,704.0","","0.00%"
"08/11/2017","22,700.0","22,715.0","22,716.5","22,706.5","","0.00%"
"07/11/2017","22,701.0","22,712.5","22,719.3","22,706.5","","-0.02%"
"06/11/2017","22,705.0","22,713.0","22,719.0","22,708.5","","0.02%"
"03/11/2017","22,700.0","22,713.5","22,719.0","22,706.0","","0.00%"
"02/11/2017","22,700.0","22,712.5","22,719.5","22,706.0","","0.00%"
"01/11/2017","22,701.0","22,711.5","22,723.0","22,706.5","","0.00%"
"31/10/2017","22,700.0","22,716.3","22,721.5","22,706.5","","0.00%"
"30/10/2017","22,700.0","22,716.5","22,719.0","22,708.5","","0.00%"
"27/10/2017","22,700.0","22,719.0","22,722.0","22,708.5","","-0.09%"
"26/10/2017","22,720.0","22,720.5","22,725.5","22,718.0","","0.00%"
"25/10/2017","22,720.0","22,720.0","22,733.5","22,719.0","","0.00%"
"24/10/2017","22,719.0","22,722.0","22,730.0","22,719.0","","-0.02%"
"23/10/2017","22,723.0","22,718.0","22,723.5","22,716.5","","0.02%"
"20/10/2017","22,718.0","22,718.3","22,719.5","22,716.5","","0.04%"
"19/10/2017","22,710.0","22,717.5","22,727.5","22,714.5","","-0.04%"
"18/10/2017","22,719.0","22,719.0","22,720.5","22,717.0","","0.00%"
"17/10/2017","22,718.0","22,719.5","22,720.5","22,716.0","","0.06%"
"16/10/2017","22,705.0","22,719.0","22,725.0","22,708.5","","-0.02%"
"13/10/2017","22,710.0","22,720.0","22,725.5","22,715.0","","-0.04%"
"12/10/2017","22,719.0","22,717.5","22,722.0","22,716.5","","0.00%"
"11/10/2017","22,718.0","22,718.0","22,723.5","22,715.5","","-0.01%"
"10/10/2017","22,720.0","22,723.0","22,733.5","22,721.5","","-0.02%"
"09/10/2017","22,725.0","22,728.5","22,729.5","22,725.5","","0.04%"
"06/10/2017","22,715.0","22,728.5","22,731.5","22,721.5","","0.00%"
"05/10/2017","22,715.0","22,729.5","22,732.0","22,721.5","","-0.02%"
"04/10/2017","22,720.0","22,729.5","22,737.0","22,723.8","","0.02%"
"03/10/2017","22,715.0","22,727.5","22,733.5","22,721.0","","0.00%"
"02/10/2017","22,715.0","22,726.0","22,733.5","22,720.5","","-0.02%"
"29/09/2017","22,720.0","22,726.0","22,736.0","22,723.0","","0.02%"
"28/09/2017","22,715.0","22,729.5","22,734.5","22,721.5","","-0.02%"
"27/09/2017","22,720.0","22,732.5","22,739.0","22,725.0","","0.00%"
"26/09/2017","22,720.0","22,733.5","22,737.5","22,726.0","","-0.04%"
"25/09/2017","22,730.0","22,736.0","22,738.0","22,726.0","","0.07%"
"22/09/2017","22,715.0","22,722.5","22,739.5","22,721.0","","-0.02%"
"21/09/2017","22,720.0","22,725.0","22,733.5","22,724.5","","-0.02%"
"20/09/2017","22,725.0","22,728.5","22,730.0","22,726.0","","0.02%"
"19/09/2017","22,720.0","22,729.5","22,730.5","22,723.5","","0.00%"
"18/09/2017","22,721.0","22,725.0","22,730.5","22,723.0","","0.03%"
"15/09/2017","22,715.0","22,725.0","22,730.0","22,720.5","","-0.02%"
"14/09/2017","22,720.0","22,725.5","22,728.0","22,723.0","","0.00%"
"13/09/2017","22,720.0","22,725.5","22,729.0","22,723.0","","0.00%"
"12/09/2017","22,720.0","22,725.0","22,734.0","22,723.0","","0.04%"
"11/09/2017","22,710.0","22,725.5","22,730.0","22,718.0","","-0.07%"
"08/09/2017","22,725.0","22,726.5","22,728.0","22,725.0","","0.02%"
"07/09/2017","22,720.0","22,727.5","22,732.0","22,724.0","","0.00%"
"06/09/2017","22,720.0","22,727.0","22,733.0","22,724.0","","-0.04%"
"05/09/2017","22,728.0","22,728.0","22,733.0","22,727.5","","0.01%"
"04/09/2017","22,725.0","22,725.0","22,725.0","22,725.0","","0.00%"
"01/09/2017","22,725.0","22,729.0","22,735.5","22,727.5","","0.04%"
"31/08/2017","22,715.0","22,731.0","22,735.5","22,723.0","","-0.04%"
