"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"30/12/2016","22,770.0","22,765.0","22,790.0","22,742.5","","-0.03%"
"29/12/2016","22,777.0","22,770.0","22,794.0","22,751.0","","0.03%"
"28/12/2016","22,770.0","22,766.5","22,785.0","22,749.0","","0.04%"
"27/12/2016","22,762.0","22,763.0","22,781.0","22,740.5","","0.00%"
"26/12/2016","22,762.0","22,760.0","22,782.5","22,730.5","","0.03%"
"23/12/2016","22,755.0","22,762.0","22,779.0","22,735.0","","-0.02%"
"22/12/2016","22,759.0","22,758.5","22,763.0","22,757.0","","-0.03%"
"21/12/2016","22,766.0","22,767.0","22,783.5","22,754.0","","0.03%"
"20/12/2016","22,760.0","22,750.0","22,779.0","22,737.0","","0.02%"
"19/12/2016","22,755.0","22,760.0","22,766.0","22,755.0","","0.04%"
"16/12/2016","22,745.0","22,755.0","22,757.5","22,750.0","","0.02%"
"15/12/2016","22,740.0","22,747.5","22,765.0","22,719.0","","0.13%"
"14/12/2016","22,710.0","22,732.5","22,745.0","22,626.5","","0.24%"
"13/12/2016","22,655.0","22,665.0","22,678.0","22,595.0","","0.15%"
"12/12/2016","22,620.0","22,650.0","22,667.5","22,612.5","","0.15%"
"09/12/2016","22,585.0","22,615.0","22,620.0","22,570.0","","-0.20%"
"08/12/2016","22,630.0","22,643.0","22,700.0","22,627.0","","-0.22%"
"07/12/2016","22,680.0","22,720.0","22,747.5","22,692.5","","-0.18%"
"06/12/2016","22,720.0","22,730.0","22,750.0","22,709.0","","0.04%"
"05/12/2016","22,710.0","22,710.0","22,735.0","22,660.0","","0.22%"
"02/12/2016","22,660.0","22,685.0","22,730.0","22,669.0","","-0.09%"
"01/12/2016","22,680.0","22,692.5","22,715.0","22,675.0","","0.18%"
"30/11/2016","22,640.0","22,680.0","22,692.5","22,645.0","","-0.13%"
"29/11/2016","22,670.0","22,715.0","22,735.0","22,660.0","","-0.13%"
"28/11/2016","22,700.0","22,717.5","22,750.0","22,690.0","","-0.11%"
"25/11/2016","22,725.0","22,752.5","22,780.0","22,660.0","","-0.15%"
"24/11/2016","22,760.0","22,757.5","22,777.5","22,666.0","","0.91%"
"23/11/2016","22,554.0","22,625.0","22,667.5","22,594.5","","0.34%"
"22/11/2016","22,478.0","22,520.0","22,563.0","22,508.0","","-0.36%"
"21/11/2016","22,560.0","22,550.0","22,575.0","22,522.5","","0.46%"
"18/11/2016","22,456.0","22,550.0","22,590.0","22,470.0","","0.40%"
