"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2002","15,396.0","15,396.0","15,396.0","15,396.0","","0.00%"
"30/12/2002","15,396.0","15,396.0","15,396.0","15,396.0","","0.03%"
"27/12/2002","15,391.0","15,391.0","15,391.0","15,391.0","","-0.03%"
"26/12/2002","15,395.0","15,395.0","15,395.0","15,395.0","","-0.03%"
"25/12/2002","15,400.0","15,400.0","15,400.0","15,400.0","","0.06%"
"24/12/2002","15,390.0","15,390.0","15,390.0","15,390.0","","-0.03%"
"23/12/2002","15,395.0","15,395.0","15,395.0","15,395.0","","0.00%"
"20/12/2002","15,395.0","15,395.0","15,395.0","15,395.0","","0.00%"
"19/12/2002","15,395.0","15,395.0","15,395.0","15,395.0","","0.03%"
"18/12/2002","15,390.0","15,390.0","15,390.0","15,390.0","","0.03%"
"17/12/2002","15,386.0","15,386.0","15,386.0","15,386.0","","-0.03%"
"16/12/2002","15,390.0","15,390.0","15,390.0","15,390.0","","0.00%"
"13/12/2002","15,390.0","15,390.0","15,390.0","15,390.0","","0.00%"
"12/12/2002","15,390.0","15,390.0","15,390.0","15,390.0","","0.00%"
"11/12/2002","15,390.0","15,390.0","15,390.0","15,390.0","","0.05%"
"10/12/2002","15,383.0","15,383.0","15,383.0","15,383.0","","-0.03%"
"09/12/2002","15,387.0","15,387.0","15,387.0","15,387.0","","-0.01%"
"06/12/2002","15,388.0","15,388.0","15,388.0","15,388.0","","0.03%"
"05/12/2002","15,384.0","15,384.0","15,384.0","15,384.0","","-0.03%"
"04/12/2002","15,388.0","15,388.0","15,388.0","15,388.0","","0.00%"
"03/12/2002","15,388.0","15,388.0","15,388.0","15,388.0","","0.03%"
"02/12/2002","15,383.0","15,383.0","15,383.0","15,383.0","","0.02%"
"29/11/2002","15,380.0","15,380.0","15,380.0","15,380.0","","0.02%"
"28/11/2002","15,377.0","15,377.0","15,377.0","15,377.0","","-0.02%"
"27/11/2002","15,380.0","15,380.0","15,380.0","15,380.0","","-0.01%"
"26/11/2002","15,381.0","15,381.0","15,381.0","15,381.0","","0.01%"
"25/11/2002","15,379.0","15,379.0","15,379.0","15,379.0","","0.01%"
"22/11/2002","15,377.0","15,377.0","15,377.0","15,377.0","","0.01%"
"21/11/2002","15,375.0","15,375.0","15,375.0","15,375.0","","0.03%"
"20/11/2002","15,371.0","15,371.0","15,371.0","15,371.0","","-0.01%"
"19/11/2002","15,373.0","15,373.0","15,373.0","15,373.0","","0.00%"
"18/11/2002","15,373.0","15,373.0","15,373.0","15,373.0","","0.03%"
"15/11/2002","15,368.0","15,368.0","15,368.0","15,368.0","","-0.01%"
"14/11/2002","15,370.0","15,370.0","15,370.0","15,370.0","","0.03%"
"13/11/2002","15,365.0","15,365.0","15,365.0","15,365.0","","0.01%"
"12/11/2002","15,363.0","15,363.0","15,363.0","15,363.0","","0.00%"
"11/11/2002","15,363.0","15,363.0","15,363.0","15,363.0","","-0.01%"
"08/11/2002","15,365.0","15,365.0","15,365.0","15,365.0","","-0.01%"
"07/11/2002","15,366.0","15,366.0","15,366.0","15,366.0","","0.01%"
"06/11/2002","15,365.0","15,365.0","15,365.0","15,365.0","","-0.01%"
"05/11/2002","15,366.0","15,366.0","15,366.0","15,366.0","","0.05%"
"04/11/2002","15,359.0","15,359.0","15,359.0","15,359.0","","0.01%"
"01/11/2002","15,358.0","15,358.0","15,358.0","15,358.0","","0.01%"
"31/10/2002","15,357.0","15,357.0","15,357.0","15,357.0","","-0.03%"
"30/10/2002","15,361.0","15,361.0","15,361.0","15,361.0","","0.00%"
"29/10/2002","15,361.0","15,361.0","15,361.0","15,361.0","","0.02%"
"28/10/2002","15,358.0","15,358.0","15,358.0","15,358.0","","-0.01%"
"25/10/2002","15,359.0","15,359.0","15,359.0","15,359.0","","0.04%"
"24/10/2002","15,353.0","15,353.0","15,353.0","15,353.0","","-0.03%"
"23/10/2002","15,357.0","15,357.0","15,357.0","15,357.0","","0.03%"
"22/10/2002","15,353.0","15,353.0","15,353.0","15,353.0","","-0.01%"
"21/10/2002","15,354.0","15,354.0","15,354.0","15,354.0","","0.03%"
"18/10/2002","15,349.0","15,349.0","15,349.0","15,349.0","","0.00%"
"17/10/2002","15,349.0","15,349.0","15,349.0","15,349.0","","-0.01%"
