"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2019","23,171.0","23,172.5","23,176.5","23,169.0","0.01K","0.00%"
"30/12/2019","23,170.0","23,170.5","23,175.5","23,169.0","0.01K","0.00%"
"27/12/2019","23,171.0","23,172.0","23,177.0","23,171.0","0.02K","-0.01%"
"26/12/2019","23,174.0","23,171.0","23,177.5","23,169.0","0.09K","0.00%"
"25/12/2019","23,173.0","23,171.0","23,178.0","23,170.0","0.01K","-0.01%"
"24/12/2019","23,176.0","23,179.0","23,179.0","23,172.5","0.01K","0.01%"
"23/12/2019","23,173.0","23,171.0","23,178.0","23,170.5","0.02K","-0.01%"
"20/12/2019","23,175.0","23,176.0","23,195.0","23,170.0","0.16K","0.03%"
"19/12/2019","23,169.0","23,171.0","23,176.5","23,168.5","0.02K","-0.02%"
"18/12/2019","23,173.0","23,173.0","23,177.0","23,171.5","0.01K","-0.01%"
"17/12/2019","23,176.0","23,176.0","23,178.0","23,169.0","0.03K","0.00%"
"16/12/2019","23,176.0","23,171.0","23,178.0","23,169.5","0.02K","0.01%"
"13/12/2019","23,173.0","23,169.0","23,199.5","23,168.0","0.02K","0.02%"
"12/12/2019","23,169.0","23,173.5","23,176.5","23,167.5","0.01K","-0.03%"
"11/12/2019","23,175.0","23,172.0","23,177.5","23,169.0","0.01K","0.02%"
"10/12/2019","23,170.0","23,170.0","23,176.0","23,168.5","0.01K","0.00%"
"09/12/2019","23,170.0","23,171.0","23,177.5","23,168.0","0.02K","-0.02%"
"06/12/2019","23,175.0","23,178.5","23,210.0","23,166.5","0.03K","0.03%"
"05/12/2019","23,167.0","23,175.0","23,181.0","23,167.0","0.01K","-0.01%"
"04/12/2019","23,170.0","23,175.0","23,177.5","23,166.5","0.02K","0.00%"
"03/12/2019","23,170.0","23,173.5","23,180.0","23,171.0","0.02K","-0.02%"
"02/12/2019","23,175.0","23,165.0","23,202.5","23,165.0","0.03K","-0.02%"
"29/11/2019","23,179.0","23,200.0","23,202.5","23,180.0","0.01K","-0.09%"
"28/11/2019","23,200.0","23,206.5","23,207.5","23,197.5","0.02K","0.00%"
"27/11/2019","23,200.0","23,203.5","23,207.5","23,196.0","0.03K","0.04%"
"26/11/2019","23,190.0","23,197.5","23,198.0","23,186.0","0.03K","-0.03%"
"25/11/2019","23,197.0","23,197.5","23,202.0","23,195.5","0.01K","0.01%"
"22/11/2019","23,195.0","23,195.0","23,201.0","23,192.5","0.01K","0.01%"
"21/11/2019","23,193.0","23,197.5","23,201.5","23,192.5","0.02K","-0.03%"
"20/11/2019","23,199.0","23,201.0","23,208.5","23,198.5","0.02K","0.00%"
"19/11/2019","23,200.0","23,202.0","23,207.0","23,198.5","0.02K","-0.02%"
"18/11/2019","23,205.0","23,202.0","23,207.0","23,201.5","0.03K","0.00%"
"15/11/2019","23,204.0","23,202.0","23,206.0","23,201.0","0.02K","0.02%"
"14/11/2019","23,200.0","23,201.5","23,203.5","23,200.5","0.01K","0.00%"
"13/11/2019","23,199.0","23,199.5","23,203.0","23,198.5","0.02K","0.00%"
"12/11/2019","23,199.0","23,200.0","23,200.5","23,198.5","0.01K","0.00%"
"11/11/2019","23,200.0","23,202.0","23,202.0","23,198.0","0.01K","0.01%"
"08/11/2019","23,198.0","23,200.0","23,202.5","23,197.5","0.02K","0.00%"
"07/11/2019","23,199.0","23,199.5","23,202.5","23,198.0","0.01K","0.00%"
"06/11/2019","23,199.0","23,199.5","23,202.5","23,198.0","0.01K","0.00%"
"05/11/2019","23,199.0","23,200.0","23,202.5","23,198.5","0.02K","0.00%"
"04/11/2019","23,199.0","23,202.0","23,202.5","23,198.5","0.02K","0.00%"
"01/11/2019","23,200.0","23,199.5","23,202.0","23,199.0","0.01K","-0.01%"
"31/10/2019","23,202.0","23,202.0","23,204.5","23,198.5","0.01K","0.01%"
"30/10/2019","23,200.0","23,201.0","23,204.5","23,199.0","0.01K","-0.01%"
"29/10/2019","23,202.0","23,201.5","23,206.0","23,199.5","0.01K","0.01%"
"28/10/2019","23,200.0","23,201.0","23,203.5","23,199.0","0.01K","0.00%"
"25/10/2019","23,200.0","23,202.0","23,207.0","23,198.5","0.01K","-0.01%"
"24/10/2019","23,203.0","23,207.0","23,209.5","23,203.0","0.02K","-0.01%"
"23/10/2019","23,205.0","23,207.0","23,210.0","23,203.0","0.01K","0.02%"
"22/10/2019","23,201.0","23,203.5","23,209.0","23,202.0","0.02K","-0.02%"
"21/10/2019","23,205.0","23,202.5","23,208.0","23,201.0","0.02K","0.01%"
"18/10/2019","23,203.0","23,202.5","23,208.5","23,201.5","0.01K","-0.01%"
"17/10/2019","23,206.0","23,203.5","23,211.5","23,201.0","0.02K","0.02%"
"16/10/2019","23,202.0","23,201.0","23,204.5","23,201.0","0.02K","0.00%"
"15/10/2019","23,201.0","23,200.5","23,205.5","23,200.5","0.02K","0.00%"
"14/10/2019","23,200.0","23,201.5","23,205.5","23,199.0","0.02K","0.00%"
"11/10/2019","23,200.0","23,201.0","23,208.0","23,196.0","0.03K","0.00%"
"10/10/2019","23,200.0","23,226.0","23,226.0","23,190.0","0.05K","-0.11%"
"09/10/2019","23,225.0","23,205.0","23,226.0","23,200.0","0.02K","0.11%"
"08/10/2019","23,200.0","23,205.0","23,206.0","23,200.0","0.01K","0.00%"
"07/10/2019","23,200.0","23,201.5","23,207.0","23,201.0","0.01K","0.00%"
"04/10/2019","23,200.0","23,205.0","23,207.0","23,201.0","0.01K","0.00%"
"03/10/2019","23,200.0","23,201.0","23,206.0","23,201.0","0.02K","0.00%"
"02/10/2019","23,200.0","23,201.0","23,205.5","23,201.0","0.01K","0.00%"
"01/10/2019","23,201.0","23,201.0","23,205.5","23,201.0","0.01K","0.00%"
"30/09/2019","23,200.0","23,202.0","23,206.5","23,200.5","0.02K","0.00%"
"27/09/2019","23,200.0","23,202.0","23,205.5","23,200.0","0.02K","0.00%"
"26/09/2019","23,200.0","23,205.0","23,205.0","23,199.5","0.01K","0.00%"
"25/09/2019","23,200.0","23,203.5","23,206.5","23,201.0","0.01K","0.00%"
"24/09/2019","23,200.0","23,203.5","23,208.0","23,200.0","0.05K","-0.01%"
"23/09/2019","23,202.0","23,209.0","23,209.0","23,201.0","0.02K","0.00%"
"20/09/2019","23,203.0","23,211.0","23,213.0","23,202.0","0.02K","-0.03%"
"19/09/2019","23,211.0","23,212.0","23,226.0","23,207.5","0.03K","0.01%"
"18/09/2019","23,209.0","23,217.5","23,230.0","23,208.5","0.02K","-0.07%"
"17/09/2019","23,225.0","23,225.0","23,231.0","23,219.0","0.02K","0.03%"
"16/09/2019","23,218.0","23,215.0","23,222.5","23,213.0","0.02K","0.06%"
"13/09/2019","23,205.0","23,215.0","23,221.5","23,206.0","0.02K","0.00%"
"12/09/2019","23,205.0","23,200.5","23,211.5","23,199.0","0.02K","0.03%"
"11/09/2019","23,199.0","23,199.5","23,204.0","23,196.0","0.04K","0.00%"
"10/09/2019","23,199.0","23,197.0","23,202.0","23,196.0","0.01K","0.00%"
"09/09/2019","23,199.0","23,195.0","23,202.5","23,195.0","0.02K","0.00%"
"06/09/2019","23,198.0","23,195.0","23,202.0","23,194.0","0.02K","0.00%"
"05/09/2019","23,198.0","23,197.5","23,206.0","23,196.0","0.02K","0.00%"
"04/09/2019","23,199.0","23,199.0","23,202.5","23,194.0","0.01K","0.00%"
"03/09/2019","23,198.0","23,186.0","23,203.0","23,186.0","0.02K","0.06%"
"02/09/2019","23,185.0","23,185.0","23,185.0","23,185.0","","0.00%"
"30/08/2019","23,185.0","23,203.0","23,204.0","23,183.5","0.02K","-0.04%"
"29/08/2019","23,195.0","23,203.0","23,208.5","23,195.5","0.02K","-0.05%"
"28/08/2019","23,206.0","23,205.0","23,212.0","23,197.5","0.02K","0.04%"
"27/08/2019","23,197.0","23,202.5","23,205.5","23,196.5","0.02K","0.00%"
"26/08/2019","23,198.0","23,217.5","23,217.5","23,196.5","0.02K","0.00%"
"23/08/2019","23,198.0","23,201.0","23,212.5","23,195.0","0.03K","-0.01%"
"22/08/2019","23,200.0","23,205.0","23,211.5","23,199.5","0.02K","0.00%"
"21/08/2019","23,200.0","23,202.5","23,211.5","23,201.0","0.02K","-0.01%"
"20/08/2019","23,203.0","23,209.0","23,214.0","23,200.0","0.05K","-0.01%"
"19/08/2019","23,205.0","23,215.0","23,217.0","23,206.0","0.02K","-0.03%"
"16/08/2019","23,211.0","23,206.0","23,217.5","23,206.0","0.02K","0.01%"
"15/08/2019","23,208.0","23,209.0","23,209.5","23,203.5","0.02K","0.03%"
"14/08/2019","23,200.0","23,202.5","23,212.5","23,199.0","0.02K","-0.02%"
"13/08/2019","23,205.0","23,203.5","23,208.0","23,199.0","0.02K","0.03%"
"12/08/2019","23,197.0","23,201.0","23,252.0","23,197.5","0.02K","-0.03%"
"09/08/2019","23,204.0","23,204.0","23,215.0","23,199.5","0.02K","-0.07%"
"08/08/2019","23,220.0","23,220.0","23,242.5","23,208.5","0.02K","0.02%"
"07/08/2019","23,215.0","23,215.0","23,264.5","23,213.0","0.02K","-0.15%"
"06/08/2019","23,250.0","23,280.0","23,292.5","23,249.0","0.02K","-0.08%"
"05/08/2019","23,268.0","23,230.0","23,280.5","23,223.0","0.04K","0.23%"
"02/08/2019","23,215.0","23,216.5","23,236.0","23,205.0","0.02K","0.06%"
"01/08/2019","23,200.0","23,205.0","23,222.5","23,199.0","0.01K","-0.13%"
"31/07/2019","23,230.0","23,201.0","23,232.5","23,198.5","0.01K","0.13%"
"30/07/2019","23,200.0","23,201.5","23,216.0","23,200.5","0.02K","-0.02%"
"29/07/2019","23,205.0","23,211.0","23,217.5","23,208.5","0.02K","0.00%"
"26/07/2019","23,205.0","23,208.0","23,216.5","23,203.5","0.04K","-0.02%"
"25/07/2019","23,209.0","23,210.5","23,213.0","23,201.5","0.09K","0.02%"
"24/07/2019","23,205.0","23,217.0","23,224.5","23,208.5","0.04K","-0.02%"
"23/07/2019","23,209.0","23,241.0","23,251.0","23,206.5","0.14K","-0.01%"
"22/07/2019","23,211.0","23,216.0","23,246.0","23,210.0","0.12K","-0.14%"
"19/07/2019","23,244.0","23,242.0","23,250.5","23,199.5","0.01K","0.13%"
"18/07/2019","23,214.0","23,216.0","23,222.5","23,202.5","0.02K","0.06%"
"17/07/2019","23,200.0","23,185.0","23,204.0","23,185.0","0.02K","0.00%"
"16/07/2019","23,200.0","23,195.0","23,202.5","23,195.0","0.01K","0.00%"
"15/07/2019","23,199.0","23,198.0","23,206.0","23,185.0","0.02K","0.00%"
"12/07/2019","23,200.0","23,192.5","23,205.0","23,192.5","0.02K","0.00%"
"11/07/2019","23,200.0","23,225.0","23,237.5","23,197.5","0.02K","-0.04%"
"10/07/2019","23,210.0","23,216.0","23,245.0","23,212.5","0.02K","-0.04%"
"09/07/2019","23,220.0","23,252.5","23,252.5","23,225.5","0.02K","-0.11%"
"08/07/2019","23,245.0","23,240.0","23,252.5","23,235.0","0.02K","0.04%"
"05/07/2019","23,235.0","23,248.0","23,248.5","23,235.0","0.02K","-0.02%"
"04/07/2019","23,240.0","23,243.0","23,254.5","23,215.0","0.02K","-0.02%"
"03/07/2019","23,245.0","23,227.5","23,250.0","23,225.0","0.02K","0.06%"
"02/07/2019","23,230.0","23,275.0","23,275.0","23,228.5","0.03K","-0.09%"
"01/07/2019","23,250.0","23,316.0","23,316.0","23,250.0","0.03K","-0.21%"
"28/06/2019","23,300.0","23,310.0","23,319.0","23,287.0","0.03K","-0.04%"
"27/06/2019","23,310.0","23,305.0","23,335.0","23,305.0","0.06K","0.04%"
"26/06/2019","23,300.0","23,301.0","23,325.0","23,288.0","0.02K","0.02%"
"25/06/2019","23,296.0","23,290.5","23,307.5","23,286.0","0.02K","0.04%"
"24/06/2019","23,286.0","23,291.5","23,302.5","23,282.5","0.02K","0.03%"
"21/06/2019","23,280.0","23,295.0","23,312.5","23,285.0","0.02K","-0.06%"
"20/06/2019","23,295.0","23,310.0","23,315.0","23,295.0","0.02K","-0.09%"
"19/06/2019","23,315.0","23,330.0","23,342.0","23,297.0","0.09K","-0.09%"
"18/06/2019","23,335.0","23,332.5","23,351.5","23,322.5","0.14K","-0.04%"
"17/06/2019","23,345.0","23,324.0","23,372.5","23,324.0","0.02K","0.06%"
"14/06/2019","23,330.0","23,332.5","23,335.0","23,316.5","0.02K","0.09%"
"13/06/2019","23,310.0","23,347.5","23,350.0","23,312.0","0.02K","-0.02%"
"12/06/2019","23,315.0","23,332.0","23,350.0","23,320.0","0.02K","-0.09%"
"11/06/2019","23,337.0","23,381.5","23,381.5","23,340.0","0.02K","-0.10%"
"10/06/2019","23,360.0","23,393.5","23,421.5","23,357.0","0.02K","-0.15%"
"07/06/2019","23,395.0","23,406.0","23,412.5","23,387.0","0.22K","-0.03%"
"06/06/2019","23,402.0","23,407.0","23,421.5","23,392.5","0.14K","-0.04%"
"05/06/2019","23,412.0","23,406.0","23,417.5","23,406.0","0.02K","0.07%"
"04/06/2019","23,395.0","23,405.0","23,410.0","23,393.0","0.02K","0.01%"
"03/06/2019","23,393.0","23,415.5","23,419.5","23,390.0","0.03K","-0.07%"
"31/05/2019","23,410.0","23,419.5","23,421.5","23,409.5","0.03K","-0.02%"
"30/05/2019","23,415.0","23,405.0","23,422.5","23,405.0","0.02K","0.04%"
"29/05/2019","23,406.0","23,397.5","23,416.0","23,395.0","0.02K","0.06%"
"28/05/2019","23,392.0","23,397.5","23,401.5","23,385.0","0.02K","0.03%"
"27/05/2019","23,386.0","23,396.5","23,402.5","23,383.0","0.02K","0.03%"
"24/05/2019","23,380.0","23,392.5","23,403.5","23,375.0","0.02K","-0.03%"
"23/05/2019","23,388.0","23,388.5","23,389.5","23,375.0","0.02K","0.08%"
"22/05/2019","23,370.0","23,407.5","23,407.5","23,375.0","0.02K","-0.09%"
"21/05/2019","23,390.0","23,402.5","23,407.5","23,380.0","0.02K","-0.04%"
"20/05/2019","23,400.0","23,407.5","23,437.5","23,390.0","0.01K","0.05%"
"17/05/2019","23,388.0","23,332.5","23,401.0","23,332.5","0.01K","0.38%"
"16/05/2019","23,300.0","23,342.5","23,343.5","23,277.5","0.02K","0.00%"
"15/05/2019","23,300.0","23,340.0","23,360.5","23,297.5","0.02K","-0.32%"
"14/05/2019","23,375.0","23,368.0","23,382.5","23,352.5","0.02K","0.21%"
"13/05/2019","23,325.0","23,350.0","23,375.0","23,305.0","0.02K","-0.09%"
"10/05/2019","23,345.0","23,395.0","23,397.5","23,342.5","0.01K","-0.15%"
"09/05/2019","23,380.0","23,375.0","23,410.0","23,372.5","0.02K","0.06%"
"08/05/2019","23,365.0","23,295.0","23,395.5","23,295.0","0.03K","0.32%"
"07/05/2019","23,290.0","23,295.0","23,347.0","23,295.0","0.02K","0.04%"
"06/05/2019","23,280.0","23,265.0","23,302.5","23,265.0","0.01K","0.13%"
"03/05/2019","23,249.0","23,255.5","23,270.0","23,251.5","0.02K","-0.05%"
"02/05/2019","23,260.0","23,265.0","23,266.0","23,252.0","0.02K","-0.11%"
"01/05/2019","23,285.0","23,285.0","23,285.0","23,285.0","","0.00%"
"30/04/2019","23,285.0","23,285.0","23,285.0","23,285.0","","0.00%"
"29/04/2019","23,285.0","23,285.0","23,285.0","23,285.0","","0.00%"
"26/04/2019","23,285.0","23,221.5","23,291.0","23,221.5","0.02K","0.30%"
"25/04/2019","23,215.0","23,222.5","23,269.0","23,220.0","0.02K","0.00%"
"24/04/2019","23,215.0","23,222.5","23,226.0","23,214.0","0.02K","0.02%"
"23/04/2019","23,210.0","23,210.0","23,222.5","23,210.0","0.02K","-0.03%"
"22/04/2019","23,218.0","23,206.0","23,219.0","23,206.0","0.02K","0.03%"
"19/04/2019","23,210.0","23,212.5","23,213.0","23,201.0","0.02K","0.03%"
"18/04/2019","23,203.0","23,204.0","23,204.0","23,199.0","0.01K","0.02%"
"17/04/2019","23,198.0","23,197.0","23,202.5","23,196.0","0.02K","0.00%"
"16/04/2019","23,199.0","23,199.5","23,205.0","23,197.5","0.02K","0.00%"
"15/04/2019","23,199.0","23,199.0","23,199.0","23,199.0","","0.00%"
"12/04/2019","23,199.0","23,200.5","23,201.0","23,195.0","0.02K","0.01%"
"11/04/2019","23,196.0","23,196.0","23,201.5","23,195.0","0.02K","-0.02%"
"10/04/2019","23,200.0","23,201.0","23,201.5","23,196.5","0.02K","0.01%"
"09/04/2019","23,198.0","23,199.0","23,201.0","23,195.5","0.02K","0.00%"
"08/04/2019","23,199.0","23,197.0","23,203.0","23,197.0","0.04K","0.00%"
"05/04/2019","23,199.0","23,198.0","23,206.0","23,187.0","0.10K","0.00%"
"04/04/2019","23,198.0","23,200.0","23,203.0","23,197.0","0.02K","0.00%"
"03/04/2019","23,199.0","23,199.5","23,201.5","23,197.0","0.02K","0.01%"
"02/04/2019","23,197.0","23,201.0","23,202.0","23,196.5","0.03K","-0.01%"
"01/04/2019","23,199.0","23,197.0","23,204.0","23,197.0","0.02K","-0.02%"
"29/03/2019","23,203.0","23,204.0","23,204.0","23,197.0","0.02K","0.01%"
"28/03/2019","23,200.0","23,199.0","23,203.5","23,198.0","0.02K","0.01%"
"27/03/2019","23,198.0","23,200.0","23,200.5","23,196.0","0.02K","0.00%"
"26/03/2019","23,198.0","23,200.0","23,201.0","23,195.5","0.02K","0.00%"
"25/03/2019","23,199.0","23,201.0","23,202.5","23,198.0","0.02K","0.00%"
"22/03/2019","23,199.0","23,201.5","23,203.5","23,198.5","0.02K","0.00%"
"21/03/2019","23,200.0","23,210.0","23,210.0","23,196.5","0.02K","-0.04%"
"20/03/2019","23,209.0","23,210.0","23,212.0","23,177.0","0.07K","0.00%"
"19/03/2019","23,208.0","23,208.0","23,221.0","23,199.0","0.13K","0.03%"
"18/03/2019","23,202.0","23,201.0","23,209.0","23,199.0","0.02K","0.02%"
"15/03/2019","23,198.0","23,200.5","23,205.5","23,198.5","0.02K","0.00%"
"14/03/2019","23,198.0","23,199.0","23,206.5","23,197.5","0.02K","0.00%"
"13/03/2019","23,199.0","23,199.0","23,200.5","23,197.0","0.02K","0.00%"
"12/03/2019","23,198.0","23,199.5","23,200.5","23,197.5","0.02K","0.00%"
"11/03/2019","23,198.0","23,196.0","23,201.5","23,196.0","0.02K","0.00%"
"08/03/2019","23,199.0","23,199.0","23,201.0","23,196.0","0.02K","0.01%"
"07/03/2019","23,197.0","23,202.5","23,202.5","23,197.0","0.02K","-0.01%"
"06/03/2019","23,200.0","23,200.0","23,202.0","23,197.0","0.02K","0.01%"
