"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"30/12/2005","15,913.0","15,913.0","15,913.0","15,913.0","","0.08%"
"29/12/2005","15,900.0","15,900.0","15,900.0","15,900.0","","0.08%"
"28/12/2005","15,888.0","15,888.0","15,888.0","15,888.0","","-0.07%"
"27/12/2005","15,899.0","15,899.0","15,899.0","15,899.0","","-0.02%"
"26/12/2005","15,902.0","15,902.0","15,902.0","15,902.0","","0.05%"
"23/12/2005","15,894.0","15,894.0","15,894.0","15,894.0","","-0.06%"
"22/12/2005","15,904.0","15,904.0","15,904.0","15,904.0","","-0.02%"
"21/12/2005","15,907.0","15,907.0","15,907.0","15,907.0","","-0.02%"
"20/12/2005","15,910.0","15,910.0","15,910.0","15,910.0","","-0.03%"
"19/12/2005","15,915.0","15,915.0","15,915.0","15,915.0","","0.03%"
"16/12/2005","15,911.0","15,911.0","15,911.0","15,911.0","","0.04%"
"15/12/2005","15,905.0","15,905.0","15,905.0","15,905.0","","0.02%"
"14/12/2005","15,902.0","15,902.0","15,902.0","15,902.0","","-0.01%"
"13/12/2005","15,904.0","15,904.0","15,904.0","15,904.0","","-0.01%"
"12/12/2005","15,905.0","15,905.0","15,905.0","15,905.0","","0.01%"
"09/12/2005","15,904.0","15,904.0","15,904.0","15,904.0","","0.04%"
"08/12/2005","15,897.0","15,897.0","15,897.0","15,897.0","","-0.03%"
"07/12/2005","15,901.0","15,901.0","15,901.0","15,901.0","","-0.04%"
"06/12/2005","15,907.0","15,907.0","15,907.0","15,907.0","","0.03%"
"05/12/2005","15,903.0","15,903.0","15,903.0","15,903.0","","0.02%"
"02/12/2005","15,900.0","15,900.0","15,900.0","15,900.0","","-0.02%"
"01/12/2005","15,903.0","15,903.0","15,903.0","15,903.0","","-0.03%"
"30/11/2005","15,907.0","15,907.0","15,907.0","15,907.0","","0.04%"
"29/11/2005","15,901.0","15,901.0","15,901.0","15,901.0","","0.00%"
"28/11/2005","15,901.0","15,901.0","15,901.0","15,901.0","","-0.03%"
"25/11/2005","15,905.0","15,905.0","15,905.0","15,905.0","","-0.03%"
"24/11/2005","15,910.0","15,910.0","15,910.0","15,910.0","","0.04%"
"23/11/2005","15,903.0","15,903.0","15,903.0","15,903.0","","0.00%"
"22/11/2005","15,903.0","15,903.0","15,903.0","15,903.0","","0.03%"
"21/11/2005","15,899.0","15,899.0","15,899.0","15,899.0","","-0.03%"
"18/11/2005","15,904.0","15,904.0","15,904.0","15,904.0","","-0.01%"
"17/11/2005","15,905.0","15,905.0","15,905.0","15,905.0","","-0.03%"
"16/11/2005","15,910.0","15,910.0","15,910.0","15,910.0","","0.04%"
"15/11/2005","15,904.0","15,904.0","15,904.0","15,904.0","","0.01%"
"14/11/2005","15,902.0","15,902.0","15,902.0","15,902.0","","0.08%"
"11/11/2005","15,889.0","15,889.0","15,889.0","15,889.0","","-0.04%"
"10/11/2005","15,895.0","15,895.0","15,895.0","15,895.0","","-0.01%"
"09/11/2005","15,896.0","15,896.0","15,896.0","15,896.0","","0.02%"
"08/11/2005","15,893.0","15,893.0","15,893.0","15,893.0","","0.03%"
"07/11/2005","15,889.0","15,889.0","15,889.0","15,889.0","","-0.02%"
"04/11/2005","15,892.0","15,892.0","15,892.0","15,892.0","","0.00%"
"03/11/2005","15,892.0","15,892.0","15,892.0","15,892.0","","0.03%"
"02/11/2005","15,888.0","15,888.0","15,888.0","15,888.0","","-0.09%"
"01/11/2005","15,903.0","15,903.0","15,903.0","15,903.0","","0.08%"
"31/10/2005","15,891.0","15,891.0","15,891.0","15,891.0","","-0.07%"
