"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"30/12/2022","23,610.0","23,620.0","23,645.0","23,555.0","0.02K","0.04%"
"29/12/2022","23,600.0","23,640.0","23,675.0","23,620.0","0.03K","-0.08%"
"28/12/2022","23,620.0","23,600.0","23,642.5","23,577.5","0.04K","0.17%"
"27/12/2022","23,580.0","23,605.0","23,630.0","23,565.0","0.03K","-0.04%"
"26/12/2022","23,590.0","23,605.0","23,657.5","23,587.5","0.03K","0.13%"
"23/12/2022","23,560.0","23,640.0","23,675.0","23,570.0","0.03K","-0.30%"
"22/12/2022","23,630.0","23,715.0","23,745.0","23,647.5","0.05K","-0.30%"
"21/12/2022","23,700.0","23,740.0","23,760.0","23,692.0","0.03K","-0.13%"
"20/12/2022","23,730.0","23,785.0","23,855.0","23,730.0","0.06K","0.13%"
"19/12/2022","23,700.0","23,605.0","23,715.0","23,590.0","0.02K","0.51%"
"16/12/2022","23,580.0","23,555.0","23,610.0","23,525.0","0.03K","0.34%"
"15/12/2022","23,500.0","23,545.0","23,592.5","23,492.5","0.03K","-0.09%"
"14/12/2022","23,520.0","23,525.0","23,575.0","23,475.0","0.04K","-0.34%"
"13/12/2022","23,600.0","23,705.0","23,705.0","23,575.0","0.04K","-0.34%"
"12/12/2022","23,680.0","23,575.0","23,705.0","23,525.0","0.04K","0.55%"
"09/12/2022","23,550.0","23,625.0","23,625.0","23,515.0","0.02K","-0.97%"
"08/12/2022","23,780.0","23,895.0","23,930.0","23,805.0","0.03K","-0.50%"
"07/12/2022","23,900.0","24,000.0","24,015.0","23,825.5","0.05K","-0.33%"
"06/12/2022","23,980.0","24,025.0","24,095.0","24,000.0","0.03K","0.00%"
"05/12/2022","23,980.0","24,115.0","24,125.0","23,925.0","0.03K","-1.52%"
"02/12/2022","24,350.0","24,455.0","24,455.0","24,362.5","0.01K","-0.61%"
"01/12/2022","24,500.0","24,530.0","24,550.0","24,490.0","0.03K","-0.53%"
"30/11/2022","24,630.0","24,740.0","24,741.5","24,635.0","0.04K","-0.48%"
"29/11/2022","24,750.0","24,765.0","24,795.0","24,720.0","0.03K","-0.08%"
"28/11/2022","24,770.0","24,780.0","24,826.5","24,767.5","0.02K","0.04%"
"25/11/2022","24,760.0","24,835.0","24,853.5","24,755.0","0.03K","-0.29%"
"24/11/2022","24,833.0","24,845.0","24,851.5","24,835.0","0.02K","-0.04%"
"23/11/2022","24,844.0","24,840.0","24,852.5","24,839.5","0.02K","-0.02%"
"22/11/2022","24,850.0","24,845.0","24,854.5","24,822.5","0.01K","0.06%"
"21/11/2022","24,835.0","24,817.5","24,842.5","24,795.0","0.02K","0.14%"
"18/11/2022","24,800.0","24,800.0","24,816.0","24,790.0","0.03K","-0.02%"
"17/11/2022","24,805.0","24,785.0","24,836.0","24,782.5","0.03K","0.12%"
"16/11/2022","24,775.0","24,771.5","24,807.5","24,764.0","0.03K","0.04%"
"15/11/2022","24,765.0","24,765.0","24,848.5","24,760.0","0.04K","0.12%"
"14/11/2022","24,735.0","24,810.0","24,830.0","24,735.0","0.04K","-0.28%"
"11/11/2022","24,805.0","24,855.0","24,869.0","24,800.0","0.04K","-0.24%"
"10/11/2022","24,865.0","24,860.0","24,872.0","24,855.0","0.02K","0.01%"
"09/11/2022","24,862.0","24,861.0","24,873.5","24,860.5","0.01K","-0.04%"
"08/11/2022","24,871.0","24,861.0","24,871.5","24,861.0","0.01K","0.00%"
"07/11/2022","24,870.0","24,864.0","24,874.5","24,840.0","0.02K","0.00%"
"04/11/2022","24,870.0","24,867.0","24,883.0","24,840.0","0.02K","0.04%"
"03/11/2022","24,860.0","24,859.0","24,872.5","24,855.0","0.02K","0.10%"
"02/11/2022","24,835.0","24,860.0","24,872.5","24,840.0","0.02K","-0.06%"
