"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2020","23,070.0","23,091.5","23,111.0","23,077.5","0.02K","-0.08%"
"30/12/2020","23,088.0","23,090.5","23,135.0","23,075.0","0.02K","-0.14%"
"29/12/2020","23,120.0","23,124.0","23,135.0","23,121.5","0.02K","-0.02%"
"28/12/2020","23,125.0","23,125.0","23,149.5","23,124.0","0.01K","-0.02%"
"25/12/2020","23,130.0","23,127.0","23,154.5","23,124.5","0.02K","0.02%"
"24/12/2020","23,125.0","23,129.0","23,140.5","23,127.0","0.02K","-0.02%"
"23/12/2020","23,130.0","23,126.0","23,140.0","23,123.5","0.02K","0.01%"
"22/12/2020","23,127.0","23,130.0","23,137.0","23,124.0","0.01K","0.03%"
"21/12/2020","23,120.0","23,125.0","23,132.5","23,122.5","0.01K","-0.02%"
"18/12/2020","23,124.0","23,125.0","23,132.0","23,120.0","0.01K","0.02%"
"17/12/2020","23,120.0","23,124.0","23,135.5","23,119.5","0.02K","-0.03%"
"16/12/2020","23,126.0","23,126.0","23,136.0","23,125.8","0.02K","0.00%"
"15/12/2020","23,126.0","23,152.5","23,153.5","23,126.0","0.02K","0.00%"
"14/12/2020","23,126.0","23,178.5","23,178.5","23,126.0","0.02K","-0.01%"
"11/12/2020","23,128.0","23,178.5","23,178.5","23,127.0","0.02K","0.00%"
"10/12/2020","23,128.0","23,130.0","23,137.5","23,127.0","0.02K","0.00%"
"09/12/2020","23,128.0","23,131.5","23,137.5","23,127.0","0.01K","0.00%"
"08/12/2020","23,128.0","23,129.5","23,137.5","23,127.0","0.01K","0.00%"
"07/12/2020","23,127.0","23,130.0","23,137.5","23,126.5","0.01K","-0.01%"
"04/12/2020","23,130.0","23,131.0","23,137.5","23,128.0","0.01K","0.02%"
"03/12/2020","23,125.0","23,129.0","23,137.5","23,119.5","0.01K","-0.02%"
"02/12/2020","23,129.0","23,130.0","23,141.0","23,123.0","0.06K","0.00%"
"01/12/2020","23,129.0","23,132.0","23,142.5","23,125.0","0.14K","-0.05%"
"30/11/2020","23,140.0","23,178.5","23,178.5","23,132.5","0.02K","-0.09%"
"27/11/2020","23,160.0","23,161.5","23,182.5","23,155.0","0.01K","-0.02%"
"26/11/2020","23,164.0","23,165.5","23,167.0","23,157.5","0.02K","0.02%"
"25/11/2020","23,160.0","23,165.0","23,167.5","23,151.5","0.02K","0.04%"
"24/11/2020","23,151.0","23,151.0","23,180.0","23,151.0","0.02K","-0.11%"
