"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2007","16,018.0","16,018.0","16,018.0","16,018.0","","0.02%"
"28/12/2007","16,015.0","16,015.0","16,015.0","16,015.0","","0.00%"
"27/12/2007","16,015.0","16,015.0","16,015.0","16,015.0","","0.03%"
"26/12/2007","16,010.0","16,010.0","16,010.0","16,010.0","","-0.12%"
"25/12/2007","16,030.0","16,030.0","16,030.0","16,030.0","","-0.09%"
"24/12/2007","16,045.0","16,045.0","16,045.0","16,045.0","","0.09%"
"21/12/2007","16,030.0","16,030.0","16,030.0","16,030.0","","-0.03%"
"20/12/2007","16,035.0","16,035.0","16,035.0","16,035.0","","0.01%"
"19/12/2007","16,033.0","16,033.0","16,033.0","16,033.0","","0.02%"
"18/12/2007","16,030.0","16,030.0","16,030.0","16,030.0","","0.00%"
"17/12/2007","16,030.0","16,030.0","16,030.0","16,030.0","","-0.03%"
"14/12/2007","16,035.0","16,035.0","16,035.0","16,035.0","","0.12%"
"13/12/2007","16,015.0","16,015.0","16,015.0","16,015.0","","-0.03%"
"12/12/2007","16,020.0","16,020.0","16,020.0","16,020.0","","-0.06%"
"11/12/2007","16,030.0","16,030.0","16,030.0","16,030.0","","0.00%"
"10/12/2007","16,030.0","16,030.0","16,030.0","16,030.0","","0.00%"
"07/12/2007","16,030.0","16,030.0","16,030.0","16,030.0","","0.00%"
"06/12/2007","16,030.0","16,030.0","16,030.0","16,030.0","","0.00%"
"05/12/2007","16,030.0","16,030.0","16,030.0","16,030.0","","-0.03%"
"04/12/2007","16,035.0","16,035.0","16,035.0","16,035.0","","0.00%"
"03/12/2007","16,035.0","16,035.0","16,035.0","16,035.0","","0.00%"
"30/11/2007","16,035.0","16,035.0","16,035.0","16,035.0","","-0.06%"
"29/11/2007","16,045.0","16,045.0","16,045.0","16,045.0","","0.14%"
"28/11/2007","16,022.0","16,022.0","16,022.0","16,022.0","","-0.05%"
"27/11/2007","16,030.0","16,030.0","16,030.0","16,030.0","","-0.03%"
"26/11/2007","16,035.0","16,035.0","16,035.0","16,035.0","","-0.06%"
"23/11/2007","16,044.0","16,044.0","16,044.0","16,044.0","","-0.04%"
"22/11/2007","16,050.0","16,050.0","16,050.0","16,050.0","","0.00%"
"21/11/2007","16,050.0","16,050.0","16,050.0","16,050.0","","0.00%"
"20/11/2007","16,050.0","16,050.0","16,050.0","16,050.0","","0.00%"
"19/11/2007","16,050.0","16,050.0","16,050.0","16,050.0","","-0.06%"
"16/11/2007","16,060.0","16,060.0","16,060.0","16,060.0","","0.03%"
"15/11/2007","16,055.0","16,055.0","16,055.0","16,055.0","","0.00%"
"14/11/2007","16,055.0","16,055.0","16,055.0","16,055.0","","0.00%"
"13/11/2007","16,055.0","16,055.0","16,055.0","16,055.0","","0.01%"
"12/11/2007","16,054.0","16,054.0","16,054.0","16,054.0","","-0.05%"
"09/11/2007","16,062.0","16,062.0","16,062.0","16,062.0","","-0.01%"
