"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/12/2006","16,051.0","16,051.0","16,051.0","16,051.0","","0.07%"
"28/12/2006","16,040.0","16,040.0","16,040.0","16,040.0","","-0.09%"
"27/12/2006","16,055.0","16,055.0","16,055.0","16,055.0","","0.03%"
"26/12/2006","16,050.0","16,050.0","16,050.0","16,050.0","","0.02%"
"25/12/2006","16,046.0","16,046.0","16,046.0","16,046.0","","-0.06%"
"22/12/2006","16,056.0","16,056.0","16,056.0","16,056.0","","0.00%"
"21/12/2006","16,056.0","16,056.0","16,056.0","16,056.0","","0.00%"
"20/12/2006","16,056.0","16,056.0","16,056.0","16,056.0","","0.01%"
"19/12/2006","16,055.0","16,055.0","16,055.0","16,055.0","","-0.04%"
"18/12/2006","16,062.0","16,062.0","16,062.0","16,062.0","","-0.08%"
"15/12/2006","16,075.0","16,075.0","16,075.0","16,075.0","","0.01%"
"14/12/2006","16,074.0","16,074.0","16,074.0","16,074.0","","-0.01%"
"13/12/2006","16,076.0","16,076.0","16,076.0","16,076.0","","0.10%"
"12/12/2006","16,060.0","16,060.0","16,060.0","16,060.0","","-0.03%"
"11/12/2006","16,065.0","16,065.0","16,065.0","16,065.0","","0.02%"
"08/12/2006","16,062.0","16,062.0","16,062.0","16,062.0","","-0.09%"
"07/12/2006","16,076.0","16,076.0","16,076.0","16,076.0","","0.01%"
"06/12/2006","16,075.0","16,075.0","16,075.0","16,075.0","","0.03%"
"05/12/2006","16,070.0","16,070.0","16,070.0","16,070.0","","0.02%"
"04/12/2006","16,066.0","16,066.0","16,066.0","16,066.0","","-0.01%"
"01/12/2006","16,067.0","16,067.0","16,067.0","16,067.0","","0.01%"
"30/11/2006","16,065.0","16,065.0","16,065.0","16,065.0","","-0.08%"
"29/11/2006","16,078.0","16,078.0","16,078.0","16,078.0","","0.00%"
"28/11/2006","16,078.0","16,078.0","16,078.0","16,078.0","","0.00%"
"27/11/2006","16,078.0","16,078.0","16,078.0","16,078.0","","0.00%"
"24/11/2006","16,078.0","16,078.0","16,078.0","16,078.0","","-0.07%"
"23/11/2006","16,089.0","16,089.0","16,089.0","16,089.0","","0.07%"
"22/11/2006","16,078.0","16,078.0","16,078.0","16,078.0","","0.01%"
"21/11/2006","16,077.0","16,077.0","16,077.0","16,077.0","","-0.09%"
"20/11/2006","16,092.0","16,092.0","16,092.0","16,092.0","","-0.01%"
"17/11/2006","16,093.0","16,093.0","16,093.0","16,093.0","","-0.01%"
"16/11/2006","16,095.0","16,095.0","16,095.0","16,095.0","","0.04%"
"15/11/2006","16,088.0","16,088.0","16,088.0","16,088.0","","0.03%"
"14/11/2006","16,083.0","16,083.0","16,083.0","16,083.0","","-0.02%"
"13/11/2006","16,086.0","16,086.0","16,086.0","16,086.0","","0.01%"
"10/11/2006","16,085.0","16,085.0","16,085.0","16,085.0","","-0.01%"
"09/11/2006","16,086.0","16,086.0","16,086.0","16,086.0","","0.02%"
"08/11/2006","16,082.0","16,082.0","16,082.0","16,082.0","","0.04%"
"07/11/2006","16,075.0","16,075.0","16,075.0","16,075.0","","0.00%"
"06/11/2006","16,075.0","16,075.0","16,075.0","16,075.0","","-0.01%"
"03/11/2006","16,076.0","16,076.0","16,076.0","16,076.0","","0.00%"
"02/11/2006","16,076.0","16,076.0","16,076.0","16,076.0","","0.04%"
"01/11/2006","16,070.0","16,070.0","16,070.0","16,070.0","","0.03%"
"31/10/2006","16,065.0","16,065.0","16,065.0","16,065.0","","-0.03%"
"30/10/2006","16,070.0","16,070.0","16,070.0","16,070.0","","0.03%"
"27/10/2006","16,065.0","16,065.0","16,065.0","16,065.0","","-0.03%"
"26/10/2006","16,070.0","16,070.0","16,070.0","16,070.0","","0.03%"
"25/10/2006","16,065.0","16,065.0","16,065.0","16,065.0","","-0.03%"
"24/10/2006","16,070.0","16,070.0","16,070.0","16,070.0","","0.00%"
"23/10/2006","16,070.0","16,070.0","16,070.0","16,070.0","","0.03%"
"20/10/2006","16,065.0","16,065.0","16,065.0","16,065.0","","0.06%"
"19/10/2006","16,055.0","16,055.0","16,055.0","16,055.0","","-0.03%"
"18/10/2006","16,060.0","16,060.0","16,060.0","16,060.0","","-0.05%"
"17/10/2006","16,068.0","16,068.0","16,068.0","16,068.0","","0.12%"
"16/10/2006","16,049.0","16,049.0","16,049.0","16,049.0","","0.00%"
"13/10/2006","16,049.0","16,049.0","16,049.0","16,049.0","","0.02%"
"12/10/2006","16,046.0","16,046.0","16,046.0","16,046.0","","-0.02%"
"11/10/2006","16,050.0","16,050.0","16,050.0","16,050.0","","-0.02%"
"10/10/2006","16,054.0","16,054.0","16,054.0","16,054.0","","0.09%"
"09/10/2006","16,040.0","16,040.0","16,040.0","16,040.0","","-0.08%"
"06/10/2006","16,053.0","16,053.0","16,053.0","16,053.0","","0.04%"
"05/10/2006","16,046.0","16,046.0","16,046.0","16,046.0","","0.04%"
"04/10/2006","16,040.0","16,040.0","16,040.0","16,040.0","","-0.04%"
"03/10/2006","16,046.0","16,046.0","16,046.0","16,046.0","","0.00%"
"02/10/2006","16,046.0","16,046.0","16,046.0","16,046.0","","0.01%"
"29/09/2006","16,045.0","16,045.0","16,045.0","16,045.0","","0.06%"
"28/09/2006","16,036.0","16,036.0","16,036.0","16,036.0","","-0.05%"
"27/09/2006","16,044.0","16,044.0","16,044.0","16,044.0","","0.04%"
"26/09/2006","16,037.0","16,037.0","16,037.0","16,037.0","","0.01%"
"25/09/2006","16,035.0","16,035.0","16,035.0","16,035.0","","0.00%"
"22/09/2006","16,035.0","16,035.0","16,035.0","16,035.0","","-0.01%"
"21/09/2006","16,036.0","16,036.0","16,036.0","16,036.0","","-0.03%"
"20/09/2006","16,041.0","16,041.0","16,041.0","16,041.0","","0.01%"
"19/09/2006","16,040.0","16,040.0","16,040.0","16,040.0","","0.01%"
"18/09/2006","16,039.0","16,039.0","16,039.0","16,039.0","","0.03%"
"15/09/2006","16,034.0","16,034.0","16,034.0","16,034.0","","0.01%"
"14/09/2006","16,033.0","16,033.0","16,033.0","16,033.0","","-0.04%"
"13/09/2006","16,040.0","16,040.0","16,040.0","16,040.0","","0.14%"
"12/09/2006","16,017.0","16,017.0","16,017.0","16,017.0","","0.00%"
"11/09/2006","16,017.0","16,017.0","16,017.0","16,017.0","","0.00%"
"08/09/2006","16,017.0","16,017.0","16,017.0","16,017.0","","-0.02%"
"07/09/2006","16,020.0","16,020.0","16,020.0","16,020.0","","0.00%"
"06/09/2006","16,020.0","16,020.0","16,020.0","16,020.0","","0.03%"
"05/09/2006","16,015.0","16,015.0","16,015.0","16,015.0","","0.06%"
"04/09/2006","16,005.0","16,005.0","16,005.0","16,005.0","","0.00%"
"01/09/2006","16,005.0","16,005.0","16,005.0","16,005.0","","-0.05%"
"31/08/2006","16,013.0","16,013.0","16,013.0","16,013.0","","0.02%"
"30/08/2006","16,010.0","16,010.0","16,010.0","16,010.0","","0.02%"
"29/08/2006","16,006.0","16,006.0","16,006.0","16,006.0","","-0.07%"
"28/08/2006","16,018.0","16,018.0","16,018.0","16,018.0","","0.07%"
"25/08/2006","16,007.0","16,007.0","16,007.0","16,007.0","","-0.02%"
"24/08/2006","16,011.0","16,011.0","16,011.0","16,011.0","","-0.02%"
"23/08/2006","16,014.0","16,014.0","16,014.0","16,014.0","","0.02%"
"22/08/2006","16,010.0","16,010.0","16,010.0","16,010.0","","0.00%"
"21/08/2006","16,010.0","16,010.0","16,010.0","16,010.0","","0.06%"
"18/08/2006","16,000.0","16,000.0","16,000.0","16,000.0","","0.02%"
"17/08/2006","15,997.0","15,997.0","15,997.0","15,997.0","","-0.01%"
