"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2015","22,480.0","22,462.0","22,505.0","22,461.5","","0.33%"
"30/12/2015","22,406.0","22,465.0","22,546.0","22,434.5","","-0.28%"
"29/12/2015","22,470.0","22,482.5","22,493.5","22,467.5","","-0.21%"
"28/12/2015","22,517.0","22,480.0","22,532.0","22,463.5","","-0.10%"
"25/12/2015","22,540.0","22,543.5","22,546.0","22,537.0","","0.10%"
"24/12/2015","22,517.0","22,470.0","22,546.5","22,470.0","","0.00%"
"23/12/2015","22,517.0","22,546.0","22,546.5","22,532.0","","-0.13%"
"22/12/2015","22,546.0","22,546.0","22,546.5","22,543.5","","0.00%"
"21/12/2015","22,545.0","22,543.5","22,546.5","22,532.0","","0.22%"
"18/12/2015","22,496.0","22,538.5","22,548.0","22,521.5","","-0.01%"
"17/12/2015","22,499.0","22,544.5","22,548.5","22,523.0","","-0.08%"
"16/12/2015","22,517.0","22,543.5","22,546.5","22,532.0","","-0.06%"
"15/12/2015","22,530.0","22,543.5","22,580.0","22,537.5","","0.13%"
"14/12/2015","22,500.0","22,484.0","22,546.0","22,484.0","","0.04%"
"11/12/2015","22,490.0","22,486.0","22,500.0","22,477.5","","0.09%"
"10/12/2015","22,470.0","22,482.5","22,488.5","22,475.0","","0.00%"
"09/12/2015","22,470.0","22,475.0","22,494.5","22,457.5","","0.04%"
"08/12/2015","22,460.0","22,471.0","22,476.5","22,460.0","","-0.07%"
"07/12/2015","22,475.0","22,478.5","22,486.0","22,453.5","","0.02%"
"04/12/2015","22,470.0","22,488.0","22,503.5","22,462.5","","-0.04%"
"03/12/2015","22,480.0","22,492.5","22,498.0","22,472.5","","-0.07%"
"02/12/2015","22,495.0","22,500.0","22,505.0","22,487.5","","0.03%"
"01/12/2015","22,488.0","22,502.5","22,522.5","22,482.5","","0.09%"
"30/11/2015","22,468.0","22,488.5","22,522.5","22,470.0","","-0.03%"
"27/11/2015","22,475.0","22,487.5","22,492.5","22,477.5","","-0.02%"
"26/11/2015","22,480.0","22,483.0","22,515.0","22,465.0","","0.05%"
"25/11/2015","22,468.0","22,514.5","22,528.5","22,468.5","","0.00%"
"24/11/2015","22,468.0","22,490.5","22,517.5","22,471.5","","-0.08%"
"23/11/2015","22,485.0","22,417.0","22,500.0","22,417.0","","0.09%"
"20/11/2015","22,465.0","22,473.0","22,492.0","22,452.5","","-0.02%"
"19/11/2015","22,470.0","22,475.0","22,486.0","22,450.0","","0.18%"
