"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2003","15,637.0","15,637.0","15,637.0","15,637.0","","-0.06%"
"30/12/2003","15,647.0","15,647.0","15,647.0","15,647.0","","-0.01%"
"29/12/2003","15,648.0","15,648.0","15,648.0","15,648.0","","-0.03%"
"26/12/2003","15,653.0","15,653.0","15,653.0","15,653.0","","-0.03%"
"25/12/2003","15,657.0","15,657.0","15,657.0","15,657.0","","-0.06%"
"24/12/2003","15,667.0","15,667.0","15,667.0","15,667.0","","0.06%"
"23/12/2003","15,657.0","15,657.0","15,657.0","15,657.0","","-0.02%"
"22/12/2003","15,660.0","15,660.0","15,660.0","15,660.0","","-0.01%"
"19/12/2003","15,662.0","15,662.0","15,662.0","15,662.0","","0.04%"
"18/12/2003","15,655.0","15,655.0","15,655.0","15,655.0","","0.03%"
"17/12/2003","15,651.0","15,651.0","15,651.0","15,651.0","","0.00%"
"16/12/2003","15,651.0","15,651.0","15,651.0","15,651.0","","0.08%"
"15/12/2003","15,638.0","15,638.0","15,638.0","15,638.0","","0.02%"
"12/12/2003","15,635.0","15,635.0","15,635.0","15,635.0","","0.06%"
"11/12/2003","15,625.0","15,625.0","15,625.0","15,625.0","","0.01%"
"10/12/2003","15,623.0","15,623.0","15,623.0","15,623.0","","0.08%"
"09/12/2003","15,610.0","15,610.0","15,610.0","15,610.0","","0.02%"
"08/12/2003","15,607.0","15,607.0","15,607.0","15,607.0","","-0.02%"
"05/12/2003","15,610.0","15,610.0","15,610.0","15,610.0","","-0.03%"
"04/12/2003","15,615.0","15,615.0","15,615.0","15,615.0","","-0.03%"
"03/12/2003","15,620.0","15,620.0","15,620.0","15,620.0","","0.06%"
"02/12/2003","15,611.0","15,611.0","15,611.0","15,611.0","","-0.07%"
"01/12/2003","15,622.0","15,622.0","15,622.0","15,622.0","","0.01%"
"28/11/2003","15,621.0","15,621.0","15,621.0","15,621.0","","-0.02%"
"27/11/2003","15,624.0","15,624.0","15,624.0","15,624.0","","0.04%"
"26/11/2003","15,617.0","15,617.0","15,617.0","15,617.0","","-0.05%"
"25/11/2003","15,625.0","15,625.0","15,625.0","15,625.0","","-0.09%"
"24/11/2003","15,639.0","15,639.0","15,639.0","15,639.0","","0.00%"
"21/11/2003","15,639.0","15,639.0","15,639.0","15,639.0","","-0.03%"
"20/11/2003","15,643.0","15,643.0","15,643.0","15,643.0","","0.06%"
"19/11/2003","15,634.0","15,634.0","15,634.0","15,634.0","","-0.03%"
"18/11/2003","15,638.0","15,638.0","15,638.0","15,638.0","","-0.06%"
"17/11/2003","15,647.0","15,647.0","15,647.0","15,647.0","","0.07%"
"14/11/2003","15,636.0","15,636.0","15,636.0","15,636.0","","0.12%"
"13/11/2003","15,617.0","15,617.0","15,617.0","15,617.0","","-0.11%"
"12/11/2003","15,634.0","15,634.0","15,634.0","15,634.0","","-0.06%"
"11/11/2003","15,644.0","15,644.0","15,644.0","15,644.0","","-0.03%"
"10/11/2003","15,649.0","15,649.0","15,649.0","15,649.0","","0.12%"
"07/11/2003","15,630.0","15,630.0","15,630.0","15,630.0","","0.01%"
"06/11/2003","15,629.0","15,629.0","15,629.0","15,629.0","","-0.15%"
"05/11/2003","15,653.0","15,653.0","15,653.0","15,653.0","","0.05%"
"04/11/2003","15,645.0","15,645.0","15,645.0","15,645.0","","0.12%"
"03/11/2003","15,627.0","15,627.0","15,627.0","15,627.0","","-0.06%"
"31/10/2003","15,637.0","15,637.0","15,637.0","15,637.0","","0.17%"
"30/10/2003","15,610.0","15,610.0","15,610.0","15,610.0","","-0.11%"
"29/10/2003","15,627.0","15,627.0","15,627.0","15,627.0","","0.17%"
"28/10/2003","15,601.0","15,601.0","15,601.0","15,601.0","","0.14%"
"27/10/2003","15,579.0","15,579.0","15,579.0","15,579.0","","0.00%"
"24/10/2003","15,579.0","15,579.0","15,579.0","15,579.0","","0.09%"
"23/10/2003","15,565.0","15,565.0","15,565.0","15,565.0","","0.10%"
"22/10/2003","15,549.0","15,549.0","15,549.0","15,549.0","","0.15%"
"21/10/2003","15,525.0","15,525.0","15,525.0","15,525.0","","-0.08%"
"20/10/2003","15,537.0","15,537.0","15,537.0","15,537.0","","0.00%"
"17/10/2003","15,537.0","15,537.0","15,537.0","15,537.0","","-0.08%"
"16/10/2003","15,549.0","15,549.0","15,549.0","15,549.0","","-0.08%"
"15/10/2003","15,562.0","15,562.0","15,562.0","15,562.0","","-0.08%"
"14/10/2003","15,574.0","15,574.0","15,574.0","15,574.0","","0.10%"
"13/10/2003","15,559.0","15,559.0","15,559.0","15,559.0","","0.01%"
"10/10/2003","15,558.0","15,558.0","15,558.0","15,558.0","","-0.04%"
"09/10/2003","15,565.0","15,565.0","15,565.0","15,565.0","","0.00%"
"08/10/2003","15,565.0","15,565.0","15,565.0","15,565.0","","-0.01%"
"07/10/2003","15,567.0","15,567.0","15,567.0","15,567.0","","0.00%"
"06/10/2003","15,567.0","15,567.0","15,567.0","15,567.0","","0.08%"
